Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-08-17 10:56:14.4555,1,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 10:56:18.7946,6,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 10:56:19.0420,15,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-17 10:56:46.7518,1184,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 10:57:01.7003,1738,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.1360,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 10:57:06.6426,1941,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7991,1,(0.842 0.843 0.822 0.812 0.799 0.793 0.820 0.825 ),NULL
Rest,2021-08-17 10:57:06.6640,1942,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8034,1,(0.842 0.843 0.822 0.812 0.799 0.793 0.820 0.825 ),NULL
InputWindowChange,2021-08-17 10:57:21.6504,2508,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Open,0,0.0000,4.9287,Running,2.5433,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 10:57:22.7481,2550,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Closed,0,0.0208,0.0000,Running,2.5433,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 10:57:22.7517,2550,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Closed,0,0.0208,0.0000,Running,2.5433,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 10:57:37.7269,3134,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,NULL,Open,1,0.0000,0.0000,Running,1.2754,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 10:57:39.8790,3223,aa41936b649bfba0f9a0df3b523b6ec2,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8487,2,(0.825 0.814 0.837 0.856 0.858 0.849 0.813 0.823 ),NULL
