Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-08-16 15:23:41.7415,1,789e2fd75b1926e71fcc358f81a774b5,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 15:23:46.0092,6,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-16 15:23:46.2053,12,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-16 15:24:20.1807,1384,789e2fd75b1926e71fcc358f81a774b5,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:24:35.1616,2025,789e2fd75b1926e71fcc358f81a774b5,anonymous,NULL,Open,0,0.0000,0.0000,Running,4.1617,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:24:35.6487,2047,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8066,1,(0.882 0.856 0.831 0.817 0.818 0.823 0.815 0.807 ),NULL
Rest,2021-08-16 15:24:35.6762,2048,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7459,1,(0.882 0.856 0.831 0.817 0.818 0.823 0.815 0.807 ),NULL
InputWindowChange,2021-08-16 15:24:50.6644,2669,789e2fd75b1926e71fcc358f81a774b5,anonymous,NULL,Open,0,0.0000,0.4943,Running,3.6093,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:24:50.6649,2669,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8151,2,(0.815 0.856 0.831 0.817 0.818 0.823 0.815 0.807 ),NULL
Rest,2021-08-16 15:24:50.6942,2670,789e2fd75b1926e71fcc358f81a774b5,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8275,2,(0.815 0.856 0.831 0.817 0.818 0.823 0.815 0.807 ),NULL
