Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
InputWindowChange,2021-08-17 12:54:05.3954,5458,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,3,0.0000,0.0000,Running,4.7578,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:54:11.4116,5726,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,3,0.0133,0.0000,Running,4.7578,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:54:11.4143,5726,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,3,0.0133,0.0000,Running,4.7578,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:54:26.3937,6378,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,4,0.0000,0.0000,Running,1.8169,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:54:32.4239,6638,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,4,0.0235,0.0000,Running,1.8169,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:54:32.4254,6638,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,4,0.0235,0.0000,Running,1.8169,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:54:47.4281,7307,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,0.0000,Running,1.3676,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:54:48.3920,7346,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8168,3,(0.785 0.804 0.809 0.817 0.743 0.741 0.751 0.773 ),NULL
Rest,2021-08-17 12:54:48.4196,7347,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7940,3,(0.785 0.804 0.809 0.817 0.743 0.741 0.751 0.773 ),NULL
InputWindowChange,2021-08-17 12:55:03.4144,7996,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,0.9655,Running,2.5142,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:55:04.6550,8053,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7489,4,(0.759 0.810 0.820 0.815 0.774 0.777 0.761 0.749 ),NULL
Rest,2021-08-17 12:55:04.6824,8054,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7636,4,(0.759 0.810 0.820 0.815 0.774 0.777 0.761 0.749 ),NULL
InputWindowChange,2021-08-17 12:55:19.6555,8724,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,2.2132,Running,3.8542,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:55:20.5025,8761,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8743,5,(0.822 0.856 0.853 0.868 0.874 0.743 0.785 0.802 ),NULL
Rest,2021-08-17 12:55:20.5264,8762,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8867,5,(0.822 0.856 0.853 0.868 0.874 0.743 0.785 0.802 ),NULL
InputWindowChange,2021-08-17 12:55:35.5200,9430,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,3.0566,Running,3.5149,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:55:36.8004,9486,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7591,6,(0.759 0.757 0.798 0.798 0.781 0.797 0.794 0.777 ),NULL
