Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
InputWindowChange,2021-08-17 12:37:52.0026,6186,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,4,0.0047,0.0000,Running,1.9822,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:37:52.0036,6186,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,4,0.0047,0.0000,Running,1.9822,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:38:07.0025,6809,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,5,0.0000,0.0000,Running,3.3126,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:38:13.0280,7068,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,5,0.0209,0.0000,Running,3.3126,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:38:13.0296,7068,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,5,0.0209,0.0000,Running,3.3126,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:38:28.0277,7672,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,6,0.0000,0.0000,Running,2.3353,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:38:33.7547,7907,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7621,2,(0.763 0.756 0.755 0.762 0.741 0.788 0.774 0.762 )
Rest,2021-08-17 12:38:33.7770,7908,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7136,2,(0.763 0.756 0.755 0.762 0.741 0.788 0.774 0.762 )
InputWindowChange,2021-08-17 12:38:48.7394,8533,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,6,0.0000,5.7228,Running,1.8976,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:38:49.0355,8546,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,6,0.0181,0.0000,Running,1.8976,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
