Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
BCIStateUpdated,2021-08-17 10:37:44.7430,1,c8218c7813172fec8717e28b6b57659c,anonymous,Connecting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 10:37:48.6751,6,c8218c7813172fec8717e28b6b57659c,anonymous,ReceivingHeader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BCIStateUpdated,2021-08-17 10:37:49.0674,19,c8218c7813172fec8717e28b6b57659c,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GameRunning,2021-08-17 10:38:26.1022,1628,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Closed,0,0.0000,0.0000,Running,0.0000,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 10:38:41.0838,2311,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Open,0,0.0000,0.0000,Running,1.3498,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 10:38:46.0468,2524,c8218c7813172fec8717e28b6b57659c,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8182,1,(0.799 0.799 0.796 0.806 0.807 0.818 0.793 0.804 ),NULL
Rest,2021-08-17 10:38:46.0759,2525,c8218c7813172fec8717e28b6b57659c,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8266,1,(0.799 0.799 0.796 0.806 0.807 0.818 0.793 0.804 ),NULL
InputWindowChange,2021-08-17 10:39:01.0472,3191,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Open,0,0.0000,4.9588,Running,3.9652,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 10:39:02.0958,3238,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Closed,0,0.0030,0.0000,Running,3.9652,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 10:39:02.0997,3238,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Closed,0,0.0030,0.0000,Running,3.9652,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 10:39:17.1088,3918,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Open,1,0.0000,0.0000,Running,1.1021,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 10:39:23.1206,4188,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Closed,1,0.0128,0.0000,Running,1.1021,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 10:39:23.1286,4188,c8218c7813172fec8717e28b6b57659c,anonymous,NULL,Closed,1,0.0128,0.0000,Running,1.1021,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
