Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
Rest,2021-08-16 14:00:49.5598,7670,13b6d53045477fd8224170fd61a51c9d,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8802,5,(0.860 0.853 0.952 0.918 0.868 0.881 0.886 0.884 ),NULL
InputWindowChange,2021-08-16 14:01:04.5566,8743,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Open,0,0.0000,5.1726,Running,4.4033,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:01:05.3927,8803,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Closed,0,0.0078,0.0000,Running,4.4033,30,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:01:05.3958,8803,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Closed,0,0.0078,0.0000,Running,4.4033,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-16 14:01:20.3868,9876,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Open,1,0.0000,0.0000,Running,1.4133,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 14:01:24.6766,10183,13b6d53045477fd8224170fd61a51c9d,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8621,6,(0.760 0.788 0.807 0.833 0.865 0.853 0.855 0.862 ),NULL
Rest,2021-08-16 14:01:25.0656,10210,13b6d53045477fd8224170fd61a51c9d,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8512,6,(0.760 0.788 0.807 0.833 0.865 0.853 0.855 0.862 ),NULL
InputWindowChange,2021-08-16 14:01:39.6864,11257,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Open,1,0.0000,4.2873,Running,4.8307,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 14:01:41.3988,11380,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Closed,1,0.0019,0.0000,Running,4.8307,30,0.0000,0,0.0000,0,0.0333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 14:01:41.4003,11380,13b6d53045477fd8224170fd61a51c9d,anonymous,NULL,Closed,1,0.0019,0.0000,Running,4.8307,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
