Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
Rest,2021-08-16 15:40:19.7427,4761,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7673,3,(0.812 0.803 0.806 0.804 0.753 0.766 0.786 0.801 )
InputWindowChange,2021-08-16 15:40:34.7370,5454,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,2,0.0000,5.1799,Running,3.6058,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:40:35.5722,5493,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,2,0.0168,0.0000,Running,3.6058,30,0.0000,0,0.0000,0,0.0667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:40:35.5732,5493,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,2,0.0168,0.0000,Running,3.6058,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:40:50.5670,6184,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,3,0.0000,0.0000,Running,2.3226,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:40:56.5868,6462,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,3,0.0134,0.0000,Running,2.3226,30,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:40:56.5904,6462,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,3,0.0134,0.0000,Running,2.3226,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:11.5808,7130,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,4,0.0000,0.0000,Running,3.0173,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:17.5935,7402,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,4,0.0055,0.0000,Running,3.0173,30,0.0000,0,0.0000,0,0.1333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:41:17.5970,7402,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,4,0.0055,0.0000,Running,3.0173,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:32.6028,8089,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,5,0.0000,0.0000,Running,1.6124,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:38.6048,8360,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,5,0.0094,0.0000,Running,1.6124,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:41:38.6069,8360,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,5,0.0094,0.0000,Running,1.6124,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:53.6052,9040,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,6,0.0000,0.0000,Running,4.4372,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:41:59.6130,9315,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,6,0.0087,0.0000,Running,4.4372,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:41:59.6179,9315,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,6,0.0087,0.0000,Running,4.4372,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:42:14.6269,10000,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,7,0.0000,0.0000,Running,1.2696,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:42:17.7750,10145,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7217,4,(0.722 0.722 0.726 0.745 0.744 0.764 0.765 0.747 )
Rest,2021-08-16 15:42:17.8031,10146,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7272,4,(0.722 0.722 0.726 0.745 0.744 0.764 0.765 0.747 )
InputWindowChange,2021-08-16 15:42:32.7825,10832,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,7,0.0000,3.1549,Running,2.4928,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
